ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.89783,-2.0213,8.31446,-0.19468,-0.15073,-0.08256,12209,2016-04-03 23:59:11:354
0.89783,-2.0213,8.31446,0.47351,-1.15448,-0.05646,12310,2016-04-03 23:59:11:455
5.95258,0.97504,9.15603,-0.18269,0.58962,0.0269,12409,2016-04-03 23:59:11:554
0.31843,-0.84994,8.06128,0.09561,1.00774,0.31985,12510,2016-04-03 23:59:11:655
-1.98779,-1.1145,9.77972,0.09561,1.00774,0.31985,12610,2016-04-03 23:59:11:755
-0.97803,-2.45106,8.37911,-0.28336,1.40588,0.05486,12710,2016-04-03 23:59:11:855
-1.3629,-1.64422,7.2281,0.05513,0.21705,0.23196,12809,2016-04-03 23:59:11:954
-1.3629,-1.64422,7.2281,0.27431,-1.73132,-0.15233,12910,2016-04-03 23:59:12:055
3.11007,-2.01652,15.45697,0.37071,0.89615,-0.4032,13009,2016-04-03 23:59:12:154
-0.51655,0.81582,7.83862,-0.50973,-0.98244,-0.08709,13109,2016-04-03 23:59:12:254
1.20668,-1.63584,8.51498,-0.50973,-0.98244,-0.08709,13210,2016-04-03 23:59:12:355
1.29407,-1.31861,9.67796,0.29055,-0.49402,-0.09268,13309,2016-04-03 23:59:12:454
0.89603,-1.30963,8.9178,-0.23622,0.32704,-0.03675,13410,2016-04-03 23:59:12:555
0.89603,-1.30963,8.9178,0.3771,0.00133,-0.0277,13509,2016-04-03 23:59:12:654
0.86969,-0.47226,10.70507,-0.07297,-0.4775,-0.03888,13609,2016-04-03 23:59:12:754
1.80164,-0.79787,9.69233,-0.0229,-0.20826,-0.03675,13709,2016-04-03 23:59:12:854
2.1476,-0.59556,9.52832,-0.0229,-0.20826,-0.03675,13809,2016-04-03 23:59:12:954
1.75136,-1.54127,9.25658,-0.12037,0.4309,-0.01571,13910,2016-04-03 23:59:13:055
1.34075,-1.00796,9.67617,-0.04048,0.17444,-0.11159,14009,2016-04-03 23:59:13:154
1.34075,-1.00796,9.67617,0.06658,0.21412,0.04394,14110,2016-04-03 23:59:13:255
1.4461,-1.26833,9.45231,0.05965,0.18323,-0.00772,14211,2016-04-03 23:59:13:356
1.0343,-0.5357,9.91379,-0.35926,-0.29188,-0.02903,14310,2016-04-03 23:59:13:455
1.28329,-1.14383,9.69412,-0.35926,-0.29188,-0.02903,14409,2016-04-03 23:59:13:554
1.24798,-1.67295,9.38168,-0.01039,-0.00932,-0.01545,14510,2016-04-03 23:59:13:655
0.96007,-0.88526,9.76475,0.04208,0.09854,0.05673,14609,2016-04-03 23:59:13:754
0.96007,-0.88526,9.76475,-0.03302,-0.02503,-0.00852,14709,2016-04-03 23:59:13:854
0.91818,-1.01155,9.58998,0.00346,-0.00826,-0.04341,14810,2016-04-03 23:59:13:955
0.99599,-1.08098,9.47625,0.09774,-0.01465,-0.02663,14909,2016-04-03 23:59:14:054
0.89244,-1.1558,10.12867,0.09774,-0.01465,-0.02663,15009,2016-04-03 23:59:14:154
1.12408,-0.95888,9.75577,-0.06498,-0.07111,-0.00879,15109,2016-04-03 23:59:14:254
1.22583,-1.08996,9.59835,0.01864,-0.03462,0.00266,15209,2016-04-03 23:59:14:354
1.22583,-1.08996,9.59835,-0.01784,-0.08815,-0.02237,15310,2016-04-03 23:59:14:455
1.43233,-1.07978,9.64325,-0.03249,0.03675,-0.01625,15409,2016-04-03 23:59:14:554
1.43293,-0.78709,9.52294,-0.07137,-0.07883,-0.0514,15509,2016-04-03 23:59:14:654
1.68193,-1.27791,9.60673,-0.07137,-0.07883,-0.0514,15610,2016-04-03 23:59:14:755
1.32998,-0.93972,9.69532,-0.10333,0.102,-0.03515,15710,2016-04-03 23:59:14:855
1.07739,-1.12647,10.72243,-0.03489,0.07883,0.05699,15810,2016-04-03 23:59:14:955
1.07739,-1.12647,10.72243,-1.19816,0.10386,-0.03222,15910,2016-04-03 23:59:15:055
0.88406,-0.91578,9.93115,-0.81439,-0.1518,0.24315,16009,2016-04-03 23:59:15:154
1.09894,-4.95839,10.12328,-0.64209,-0.28895,0.18109,16109,2016-04-03 23:59:15:254
1.09894,-4.95839,10.12328,-0.64209,-0.28895,0.18109,16209,2016-04-03 23:59:15:354
1.18752,-4.78242,8.44674,0.72545,0.42344,-0.26951,16309,2016-04-03 23:59:15:454
0.99958,-0.01137,9.92995,1.42745,-0.23196,-0.41625,16409,2016-04-03 23:59:15:554
1.50416,-0.91818,8.88069,-0.27138,0.61226,-0.03995,16509,2016-04-03 23:59:15:654
1.21506,-0.44293,9.86291,0.28469,0.0506,-0.05859,16609,2016-04-03 23:59:15:754
-0.02933,-2.04525,8.73465,-0.55314,-0.85461,-0.3036,16710,2016-04-03 23:59:15:855
-0.02933,-2.04525,8.73465,-0.55314,-0.85461,-0.3036,16809,2016-04-03 23:59:15:954
1.11091,-0.56683,10.4471,0.29268,-0.17737,0.52864,16910,2016-04-03 23:59:16:055
4.66151,-3.10827,8.80947,0.70201,-0.05886,-4.41872,17010,2016-04-03 23:59:16:155
0.35075,1.02771,10.32799,1.17499,0.15979,-4.40593,17110,2016-04-03 23:59:16:255
